"School.Name","School.Type","Starting.Median.Salary.x","Mid.Career.Median.Salary.x","Mid.Career.10th.Percentile.Salary.x","Mid.Career.25th.Percentile.Salary.x","Mid.Career.75th.Percentile.Salary.x","Mid.Career.90th.Percentile.Salary.x","Region","Ivy.Type","Start.Mid.Salary.Diff"
"Idaho State University","State",44900,73400,"$35,400.00","$49,600.00","$101,000.00","$143,000.00","Western",0,28500
"Illinois Institute of Technology (IIT)","Engineering",56000,97800,"$56,100.00","$77,400.00","$121,000.00","$165,000.00","Midwestern",0,41800
"Illinois State University","State",42000,73400,"$39,100.00","$55,200.00","$105,000.00","$142,000.00","Midwestern",0,31400
"Indiana University (IU), Bloomington","State",46300,84000,"$43,600.00","$60,400.00","$119,000.00","$178,000.00","Midwestern",0,37700
"Indiana University (IU), Bloomington","Party",46300,84000,"$43,600.00","$60,400.00","$119,000.00","$178,000.00","Midwestern",0,37700
"Iowa State University","State",45400,84600,"$44,400.00","$60,000.00","$109,000.00","$147,000.00","Midwestern",0,39200
"Juniata College","Liberal Arts",41800,78900,"N/A","$67,200.00","$110,000.00","N/A","Northeastern",0,37100
"Kansas State University (KSU)","State",43300,79000,"$37,200.00","$54,100.00","$106,000.00","$138,000.00","Midwestern",0,35700
"Kent State University","State",38700,62600,"$36,100.00","$45,800.00","$87,000.00","$124,000.00","Midwestern",0,23900
"Lafayette College","Liberal Arts",53900,107000,"$70,600.00","$79,300.00","$144,000.00","$204,000.00","Northeastern",0,53100
"Lamar University","State",46500,79400,"$38,700.00","$51,600.00","$114,000.00","$158,000.00","Southern",0,32900
"Lewis & Clark College","Liberal Arts",38900,72600,"$38,200.00","$53,400.00","$104,000.00","$140,000.00","Western",0,33700
"Louisiana State University (LSU)","Party",46900,87800,"$43,700.00","$61,300.00","$120,000.00","$165,000.00","Southern",0,40900
"Louisiana State University (LSU)","State",46900,87800,"$43,700.00","$61,300.00","$120,000.00","$165,000.00","Southern",0,40900
"Massachusetts Institute of Technology (MIT)","Engineering",72200,126000,"$76,800.00","$99,200.00","$168,000.00","$220,000.00","Northeastern",0,53800
"Michigan State University (MSU)","State",46300,85300,"$44,200.00","$61,500.00","$119,000.00","$170,000.00","Midwestern",0,39000
"Middlebury College","Liberal Arts",47700,94200,"N/A","$69,100.00","$129,000.00","N/A","Northeastern",0,46500
"Minnesota State University - Mankato","State",43300,74700,"$39,500.00","$53,800.00","$95,700.00","$140,000.00","Midwestern",0,31400
"Mississippi State University (MSU)","State",44500,79300,"$43,300.00","$58,800.00","$108,000.00","$151,000.00","Southern",0,34800
"Missouri State University (MSU)","State",36100,69500,"$33,300.00","$46,900.00","$102,000.00","$134,000.00","Midwestern",0,33400
"Montana State University - Billings","State",37900,50600,"$22,600.00","$31,800.00","$78,500.00","$98,900.00","Western",0,12700
"Montana State University - Bozeman","State",46600,77500,"$40,200.00","$58,100.00","$111,000.00","$151,000.00","Western",0,30900
